#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.00
             2.60          2.80        -90.00        -73.74          0.00
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          0.00
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74          0.00
             4.20          4.40        -90.00        -73.74          0.00
             4.40          4.60        -90.00        -73.74        220.16
             4.60          4.80        -90.00        -73.74       1000.95
             4.80          5.00        -90.00        -73.74       3906.04
             5.00          5.20        -90.00        -73.74      16595.53
             5.20          5.40        -90.00        -73.74      42286.27
             5.40          5.60        -90.00        -73.74     108828.44
             5.60          5.80        -90.00        -73.74     221073.92
             5.80          6.00        -90.00        -73.74     361166.48
             6.00          6.20        -90.00        -73.74     554433.21
             6.20          6.40        -90.00        -73.74     804896.09
             6.40          6.60        -90.00        -73.74    1083519.90
             6.60          6.80        -90.00        -73.74    1393142.39
             6.80          7.00        -90.00        -73.74    1670334.22
             7.00          7.20        -90.00        -73.74    2184571.89
             7.20          7.40        -90.00        -73.74    2706358.78
             7.40          7.60        -90.00        -73.74    3235725.24
             7.60          7.80        -90.00        -73.74    3914501.77
             7.80          8.00        -90.00        -73.74    4978330.01
             8.00          8.20        -90.00        -73.74    5710152.09
             8.20          8.40        -90.00        -73.74    6575211.33
             8.40          8.60        -90.00        -73.74    8342904.84
             8.60          8.80        -90.00        -73.74    9006899.80
             8.80          9.00        -90.00        -73.74   10908870.30
             9.00          9.20        -90.00        -73.74          0.00
             9.20          9.40        -90.00        -73.74          0.00
             9.40          9.60        -90.00        -73.74          0.00
             9.60          9.80        -90.00        -73.74          0.00
             9.80         10.00        -90.00        -73.74          0.00
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.00
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.00
             3.60          3.80        -73.74        -66.93          0.00
             3.80          4.00        -73.74        -66.93          0.00
             4.00          4.20        -73.74        -66.93          0.00
             4.20          4.40        -73.74        -66.93          0.00
             4.40          4.60        -73.74        -66.93        165.26
             4.60          4.80        -73.74        -66.93        471.62
             4.80          5.00        -73.74        -66.93       2429.25
             5.00          5.20        -73.74        -66.93       8460.34
             5.20          5.40        -73.74        -66.93      30360.76
             5.40          5.60        -73.74        -66.93      73930.22
             5.60          5.80        -73.74        -66.93     174229.11
             5.80          6.00        -73.74        -66.93     333343.48
             6.00          6.20        -73.74        -66.93     521511.65
             6.20          6.40        -73.74        -66.93     793191.96
             6.40          6.60        -73.74        -66.93    1095507.62
             6.60          6.80        -73.74        -66.93    1410054.17
             6.80          7.00        -73.74        -66.93    1805267.80
             7.00          7.20        -73.74        -66.93    2293589.21
             7.20          7.40        -73.74        -66.93    2777935.47
             7.40          7.60        -73.74        -66.93    3358257.71
             7.60          7.80        -73.74        -66.93    4307588.32
             7.80          8.00        -73.74        -66.93    4943886.89
             8.00          8.20        -73.74        -66.93    5754508.80
             8.20          8.40        -73.74        -66.93    6891824.06
             8.40          8.60        -73.74        -66.93    7896595.25
             8.60          8.80        -73.74        -66.93   10053329.93
             8.80          9.00        -73.74        -66.93   10652278.51
             9.00          9.20        -73.74        -66.93          0.00
             9.20          9.40        -73.74        -66.93          0.00
             9.40          9.60        -73.74        -66.93          0.00
             9.60          9.80        -73.74        -66.93          0.00
             9.80         10.00        -73.74        -66.93          0.00
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.00
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.00
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64          0.00
             4.20          4.40        -66.93        -61.64          0.00
             4.40          4.60        -66.93        -61.64        151.45
             4.60          4.80        -66.93        -61.64        407.39
             4.80          5.00        -66.93        -61.64       2150.08
             5.00          5.20        -66.93        -61.64       6607.72
             5.20          5.40        -66.93        -61.64      18621.00
             5.40          5.60        -66.93        -61.64      62197.23
             5.60          5.80        -66.93        -61.64     134873.07
             5.80          6.00        -66.93        -61.64     302551.96
             6.00          6.20        -66.93        -61.64     496932.99
             6.20          6.40        -66.93        -61.64     814415.60
             6.40          6.60        -66.93        -61.64    1110464.70
