#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   54971.15869961          3.43          1.07       128.331        53.070       256.558       143.042
   54971.15957109          3.37          1.19       223.406         1.740       161.854        91.693
   54971.16164457          5.37          0.53       332.873       -24.509        53.126        65.540
   54971.16429956          5.43          0.33       243.988       -74.954       142.781        15.016
   54971.16634297          5.33          0.55        36.228       -22.282       351.498        67.767
   54971.16684937          3.12          0.80       102.873        24.183       284.998       114.176
   54971.16810322          5.46          0.51       319.026       -23.917        69.298        66.124
   54971.17102958          5.66          1.08       313.060       -44.851        76.293        45.186
   54971.17512862          3.11          1.35        17.156        23.247        13.724       113.301
   54971.17565655          5.91          0.31       290.380       -36.925       100.644        53.090
   54971.18100328          5.49          0.87       143.985       -29.002       249.038        60.952
   54971.18420207          5.83          0.27       238.706       -54.957       155.376        35.008
   54971.18474095          5.10          0.87       259.213       -12.373       135.120        77.609
   54971.18661067          3.43          0.99        29.070         5.712         5.958        95.763
   54971.19273612          3.10          0.66       114.951        11.077       282.278       101.059
   54971.20684439          3.50          1.13       113.654        47.603       288.621       137.590
   54971.20709639          4.99          0.73        35.829       -13.086         6.603        76.962
   54971.20793780          3.51          0.87        84.371         0.232       318.358        90.243
   54971.21141983          3.83          0.52       279.398        45.793       124.633       135.793
   54971.21315049          3.19          0.75       297.414         7.249       107.195        97.267
   54971.21335554          3.50          0.51       136.121        13.283       268.550       103.248
   54971.21573267          3.29          2.63       196.820         4.866       208.714        94.810
   54971.22349809          3.42          0.96       325.944        -0.555        82.396        89.486
   54971.22676963          3.33          0.99       306.810        25.857       102.733       115.881
   54971.23534119          5.70          0.57       343.000       -49.183        69.592        40.871
   54971.23588381          5.53          0.67       284.374       -31.563       128.399        58.445
   54971.24800977          4.03          2.29       211.965         7.400       205.223        97.350
   54971.24892797          4.33          0.90        76.308        -7.120       341.225        82.898
   54971.25591480          4.78          0.42        37.200        -8.173        22.851        81.874
   54971.27432163          3.35          0.74        99.748        15.804       326.929       105.802
   54971.27463314          3.74          0.62       142.200        47.258       284.559       137.224
   54971.27475811          5.72          0.41        94.176       -57.640       332.762        32.360
   54971.27756353          5.58          0.20       148.533       -31.117       279.345        58.837
   54971.28679398          5.57          0.88       270.591       -74.615       160.388        15.382
   54971.28834809          3.48          0.79       138.500         7.166       293.246        97.130
   54971.28895447          3.00          2.34       102.817        50.864       329.093       140.861
   54971.29072426          4.36          1.11       309.667        -7.179       122.933        82.849
   54971.29424374          5.73          0.21        16.892       -52.348        57.005        37.707
   54971.29532427          3.40          1.53       239.429        39.983       194.868       129.949
   54971.29633036          4.33          2.73        78.935        14.633       355.690       104.649
   54971.30011206          5.33          1.00        66.748       -18.023         9.270        72.003
   54971.30289771          5.41          0.74       129.938       -25.956       307.089        64.013
   54971.30463249          5.50          0.47       186.233       -23.855       251.393        66.089
   54971.30708597          5.62          0.20       290.169       -43.309       148.293        46.705
   54971.31497192          3.36          1.85       320.607        21.648       120.768       111.681
   54971.31628782          5.55          0.25       290.480       -22.259       151.332        67.754
   54971.31655002          5.30          0.48        67.787       -18.914        14.165        71.110
   54971.31860280          5.64          0.88       247.593       -66.415       194.961        23.560
   54971.31930569          5.83          0.74       359.355       -50.270        83.567        39.785
   54971.32257387          5.39          0.97       351.353       -26.023        92.748        64.028
   54971.33001054          5.88          0.29       257.471       -53.656       189.244        36.327
   54971.33507406          3.34          1.08        41.160         0.527        47.463        90.569
   54971.33750613          3.61          0.98       263.795        -3.969       185.693        86.019
   54971.33863623          5.25          1.07       168.273       -18.221       281.635        71.728
   54971.33895725          3.36          2.17       245.852         5.728       204.167        95.700
   54971.34205115          3.68          0.65       115.775        -0.971       335.366        89.012
   54971.34461730          2.95          1.52       162.356        52.378       289.677       142.335
   54971.34643529          4.92          0.26       343.507       -12.241       109.210        77.806
   54971.34647208          5.42          0.45       118.454       -17.658       334.297        72.320
   54971.34742708          5.47          0.51       144.540       -27.993       308.556        61.966
   54971.34912848          5.61          0.60       140.960       -51.259       312.779        38.701
   54971.35312124          4.92          0.75        72.854       -11.755        22.294        78.265
   54971.35339922          2.86          0.96       239.442        56.980       215.844       146.948
   54971.35396918          3.21          2.89       215.457         7.699       239.980        97.654
   54971.36032853          3.42          0.56       298.629        54.267       159.166       144.282
   54971.36089735          5.33          0.59       262.816       -14.987       195.106        75.000
   54971.36334417          3.66          1.76        27.983        67.429        70.808       157.473
   54971.36360185          3.31          0.83        79.649        56.135        19.204       146.150
   54971.36730745          3.15          1.11        12.714        12.195        87.543       102.243
   54971.37243187          3.98          0.64       302.223        -5.581       159.874        84.440
   54971.37428593          3.48          2.09        82.702         2.198        20.074        92.209
   54971.38166134          5.41          0.55        55.860       -26.543        49.601        63.489
   54971.39097840          5.14          0.87        39.561       -15.031        69.250        75.010
   54971.39451696          4.66          0.27        17.019        -8.633        93.063        81.415
   54971.39611950          6.03          0.29       322.530       -53.312       148.077        36.728
   54971.39751892          3.65          0.45       182.438         3.764       288.719        93.713
   54971.39821116          3.97          1.02       110.288        -0.441         1.126        89.546
   54971.39854278          5.58          1.14       149.941       -22.259       321.600        67.698
   54971.40109472          3.37          1.42       111.658        17.394         0.782       107.380
   54971.40316985          3.44          1.63       358.508        32.640       114.699       122.686
   54971.40410447          3.27          0.40       135.324        -2.963       338.216        87.004
   54971.40577532          5.41          0.50       112.049       -27.117         2.120        62.866
   54971.40758491          2.88          1.44       145.258        51.237       329.496       141.203
   54971.40964005          3.31          1.22       222.708        39.445       252.845       129.406
   54971.40975941          5.44          0.35       326.696       -28.920       148.865        61.120
   54971.41090912          3.96          0.59       123.288        -5.537       352.712        84.438
   54971.41247624          3.10          1.49       293.817        24.042       182.759       114.055
   54971.41332167          2.97          0.70       130.340        49.528       346.480       139.503
   54971.42021881          3.48          1.82       226.382         6.851       252.971        96.813
   54971.42701639          5.27          0.39       263.470       -18.524       218.317        71.465
   54971.42720045          5.29          0.41       137.740       -18.479       344.148        71.485
   54971.42792694          5.48          0.78       173.184       -30.646       308.956        59.303
   54971.42964432          5.23          0.59        67.461       -17.231        55.314        72.790
   54971.43542137          3.24          0.70       198.338         7.726       286.501        97.678
   54971.43910052          3.42          0.42       162.540        16.864       323.623       106.819
   54971.44329054          5.54          0.81        23.968       -26.985       103.728        63.061
   54971.44329895          5.41          0.50       176.031       -25.484       311.656        64.464
   54971.44397847          3.49          0.61       327.435         1.596       160.497        91.634
   54971.44537398          3.62          1.14       212.995        64.829       275.478       154.788
   54971.44629035          3.46          0.39       161.587        -0.312       327.178        89.642
   54971.45049818          3.94          1.03       190.608        -5.589       299.673        84.361
   54971.45339759          5.75          0.21        61.698       -54.227        69.700        35.798
   54971.45817597          4.41          1.09       272.191        -6.655       220.855        83.343
   54971.45973188          5.80          0.41        40.274       -63.907        93.414        26.133
   54971.46390292          3.08          1.10       358.010        59.472       137.126       149.515
   54971.46452709          3.57          0.83        11.740        61.149       123.604       151.192
   54971.46463536          5.73          0.25       141.953       -49.836       353.474        40.123
   54971.46822476          3.20          0.51       232.840        66.381       263.914       156.349
   54971.46922759          6.67          1.19       222.487       -64.526       274.482        25.435
   54971.46977796          3.40          2.21       138.014        24.765       359.216       114.732
   54971.47048054          4.64          0.87        68.100        -9.608        69.411        80.411
