#  MJD_start[days]  MJD_stop[days]
   54971.15454983   54971.23950391
   54971.24289982   54971.25681424
   54971.26042977   54971.59383284
   54971.59489218   54971.92830602
   54971.92933531   54972.13934090
   54972.14983572   54972.42257301
   54972.42941468   54972.74825909
   54972.74985004   54972.91251531
   54972.94346087   54972.99371710
   54972.99578942   54973.01165201
   54973.02784436   54973.10561471
   54973.11367259   54973.38236676
   54973.39966147   54973.45282920
   54973.45823590   54973.48291299
   54973.48985231   54973.63072516
   54973.63173607   54973.70175710
   54973.70504792   54973.78057721
   54973.78379558   54973.81302261
   54973.84272334   54973.91096512
   54973.92234159   54973.96414255
   54973.96544436   54974.15950063
   54974.16110195   54974.22547355
   54974.22784837   54974.28256066
   54974.28976366   54974.62316070
   54974.62420791   54974.95761833
   54974.95869439   54975.29209694
   54975.29312122   54975.62653516
   54975.62755818   54975.96097521
   54975.96209044   54976.29550884
   54976.29652969   54976.62993606
   54976.63106451   54976.94862475
   54976.95019938   54977.28359691
   54977.28471054   54977.36320240
   54977.36850404   54977.58526416
   54977.61173291   54977.68451019
   54977.69112246   54977.75144869
   54977.75303996   54978.06855762
   54978.11974322   54978.19160423
   54978.41496924   54978.43619150
   54978.43887545   54978.77227381
   54978.77567866   54979.10909209
   54979.11252542   54979.34435889
   54979.34876802   54979.68217785
   54979.68560744   54980.01901593
   54980.02242843   54980.35582620
   54980.35701284   54980.47326422
   54980.48058569   54980.54070578
   54980.54241549   54980.87582016
   54980.87712545   54981.21053440
   54981.21155564   54981.54495904
   54982.13919233   54982.20626408
   54982.21407543   54982.54748675
   54982.54851302   54982.88193496
   54982.88296621   54983.06555732
   54983.07635746   54983.22413192
   54983.23526092   54983.30437174
   54983.32048603   54983.65389513
   54983.65492497   54983.98832379
   54983.98937928   54984.32277505
   54984.32382181   54984.65721384
   54984.65824289   54984.99165194
   54984.99268026   54985.15456469
   54985.16379792   54985.49720857
   54985.49828018   54985.83169184
   54985.83271888   54986.16611652
   54986.16724604   54986.50064441
   54986.50168201   54986.83509343
   54986.83610036   54987.16950425
