#  MJD_start[days]  MJD_stop[days]
   54562.37203080   54562.70626163
   54562.70812230   54563.04198119
   54563.04508206   54563.37894816
   54563.38276543   54563.71685712
   54563.71874027   54564.05258032
   54564.05442809   54564.38830461
   54564.39018541   54564.72424709
   54564.72611513   54565.05994407
   54565.06181664   54565.25529884
   54565.25890541   54565.59303037
   54565.59487060   54565.92873542
   54565.93057329   54566.26463466
   54566.27545765   54566.60934629
   54566.61121853   54566.94506146
   54566.94689026   54566.99999990
   54567.17202602   54567.35939074
   54567.39199760   54567.45709778
   54567.46190087   54567.48126030
   54567.49465371   54567.82852883
   54567.83039286   54567.85934426
   54567.87081025   54568.15717601
   54568.22316666   54568.55725088
   54568.56916335   54568.90304695
   54568.90770239   54569.24180531
   54569.42912006   54569.76299473
   54569.76469433   54570.09879779
   54570.10049264   54570.18690309
   54570.18962888   54570.52374326
   54570.52545452   54570.85953870
   54570.86127503   54571.19514368
   54571.19690214   54571.22970979
   54571.23161909   54571.56551216
   54571.56721473   54571.90108148
   54571.90278812   54572.10793603
   54572.10850948   54572.44259976
   54572.44438651   54572.77847057
   54572.78018864   54573.11408868
   54573.11582948   54573.15273922
   54573.15498495   54573.48883338
   54573.49055318   54573.82465147
   54573.82637356   54574.09088909
   54574.12282662   54574.23613399
   54574.32419759   54574.65799742
   54574.65970896   54574.99328201
   54574.99499536   54575.22578837
   54575.28909197   54575.62318600
   54575.62491523   54575.95877654
   54575.96058759   54576.29468628
   54576.29912000   54576.38599530
   54576.48531298   54576.81908647
   54576.82081872   54577.15493152
   54577.15700744   54577.49094914
   54577.49267458   54577.82657352
   54577.82993278   54578.16285475
   54578.16497075   54578.21538541
   54578.22093003   54578.55480268
   54578.55654059   54578.89063981
   54578.89236798   54579.22658993
   54579.22830728   54579.56214632
   54579.56385868   54579.89795414
   54579.89969013   54580.23325857
   54580.23500433   54580.56890771
   54580.57064495   54580.90474673
   54580.90644544   54581.24030200
   54581.24203213   54581.57590404
   54581.57966895   54581.91360737
   54581.91531989   54582.24916352
   54582.25087249   54582.58473993
   54582.58643962   54582.92032088
   54582.92205202   54583.25590718
   54583.25995133   54583.59384786
   54583.59563608   54583.92953789
   54583.93125435   54584.26481085
   54584.26661952   54584.42135918
   54584.42391297   54584.75771147
   54584.75940774   54584.82160128
   54584.82446912   54584.83794039
   54584.84056372   54585.17389773
   54585.17602823   54585.20398576
   54585.21566580   54585.53326417
   54585.53385756   54585.86771909
   54585.86943186   54586.20353090
   54586.20522881   54586.53909709
   54586.54247297   54586.55964422
   54586.56388276   54586.89786235
   54586.89958334   54587.07757918
   54587.08328835   54587.41738068
   54587.41915586   54587.75302317
   54587.75468775   54588.08891697
   54588.09067845   54588.42463057
   54588.42637097   54588.76023886
   54588.76194690   54589.09605107
   54589.09992049   54589.43381619
   54589.43553015   54589.76962606
   54589.77155471   54590.01767432
   54590.03564749   54590.20316190
   54590.20587020   54590.53967471
   54590.54140780   54590.87551383
   54590.87723597   54591.21135190
   54591.21305777   54591.54704537
   54591.54872461   54591.88285139
   54591.88460889   54592.21855070
   54592.22024632   54592.55412480
   54592.55583350   54592.88991463
   54592.89160918   54593.15771715
   54593.16265219   54593.49619697
   54593.49991433   54593.83379115
   54593.83552813   54594.16965157
   54594.17141672   54594.50541703
   54594.50715967   54594.84102492
   54594.95246358   54595.28644125
   54595.28829199   54595.62215847
   54595.62409751   54595.95862613
   54595.96045350   54596.29454420
   54596.31294124   54596.64696929
   54596.64880669   54596.98290099
   54596.98478013   54597.31862950
   54597.32047580   54597.65457763
   54597.66041388   54597.99426494
   54597.99613679   54598.10793195
   54598.11050268   54598.44460002
   54598.44646820   54598.78056346
   54598.78238653   54599.11645770
   54599.11832343   54599.45242950
   54599.45425933   54599.75009007
   54599.75318282   54599.84637570
   54599.84831178   54600.18220887
   54600.18404204   54600.51812997
   54600.52001631   54600.85392794
   54600.85578854   54601.18964118
   54601.19149395   54601.61283199
   54601.62578303   54601.72125009
   54601.72327286   54601.76787310
   54601.85954668   54602.10535524
   54602.10593173   54602.43978786
   54602.44163828   54602.77549719
   54602.77734957   54603.08941730
   54603.09135663   54603.42545299
   54603.42733707   54603.76117917
